order_id,customer_id,order_ts,amount,currency,status
5001,1003,2024-01-06,186.68,USD,REFUNDED
5002,1020,2025-03-02,131.03,USD,NEW
5003,1020,2024-04-18,35.95,USD,NEW
5004,1019,2025-04-14,417.51,USD,PAID
5005,1017,2024-09-06,48.41,USD,PAID
5006,1012,2024-09-02,476.57,USD,PAID
5007,1019,2024-08-14,356.01,USD,NEW
5008,1020,2024-01-01,456.65,USD,NEW
5009,1016,2024-09-20,409.08,USD,NEW
5010,1001,2024-06-25,103.45,GBP,NEW
5011,1025,2024-07-25,96.19,CAD,PAID
5012,1012,2025-08-01,481.08,GBP,CANCELLED
5013,1020,2024-05-02,152.61,CAD,NEW
5014,1024,2024-09-03,397.4,USD,NEW
5015,1019,2025-07-01,93.69,GBP,PAID
5016,1010,2025-05-06,156.55,USD,PAID
5017,1008,2024-05-18,340.01,USD,NEW
5018,1014,2025-07-09,131.73,USD,NEW
5019,1003,2025-07-14,378.41,USD,NEW
5020,1013,2024-09-13,440.84,USD,PAID
5021,1014,2025-04-16,166.98,USD,NEW
5022,1019,2024-01-25,156.37,USD,NEW
5023,1023,2025-05-02,23.59,USD,PAID
5024,1011,2024-02-15,217.1,USD,NEW
5025,1011,2025-02-08,42.07,USD,PAID
5026,1018,2025-01-19,291.58,USD,NEW
5027,1018,2024-07-12,347.09,CAD,NEW
5028,1013,2025-04-23,288.47,USD,PAID
5029,1023,2025-02-16,305.83,USD,PAID
5030,1012,2024-09-18,303.83,CAD,NEW
5031,1022,2024-06-25,452.3,USD,NEW
5032,1012,2024-08-21,270.2,CAD,PAID
5033,1018,2025-07-29,432.08,USD,NEW
5034,1025,2024-02-28,182.47,USD,NEW
5035,1018,2024-01-14,78.91,CAD,CANCELLED
5036,1025,2024-03-19,118.72,USD,CANCELLED
5037,1007,2024-02-06,398.71,USD,NEW
5038,1019,2025-05-22,122.55,USD,NEW
5039,1023,2024-02-21,388.54,CAD,PAID
5040,1002,2025-07-09,452.39,USD,NEW
5041,1007,2024-09-05,276.75,USD,PAID
5042,1025,2024-12-16,80.18,USD,PAID
5043,1010,2025-02-12,315.51,USD,NEW
5044,1019,2024-01-31,195.95,USD,PAID
5045,1015,2025-05-30,455.14,CAD,PAID
5046,1016,2025-07-12,119.58,USD,NEW
5047,1016,2025-01-14,124.8,USD,NEW
5048,1004,2024-07-27,246.36,USD,CANCELLED
5049,1021,2024-08-15,251.84,USD,PAID
5050,1005,2024-11-19,102.01,CAD,PAID
